2008;SP;ARAÇOIABA DA SERRA;VEREADOR;PTB;PETY
2008;SP;ARAÇOIABA DA SERRA;VEREADOR;PTB;ROSELI DO CERCADO
2008;SP;ARAÇOIABA DA SERRA;VEREADOR;PV;VALQUIRIA DI TATA
2008;SP;ARAÇOIABA DA SERRA;VEREADOR;PV;WALDOMIRO
2008;SP;ARCO-ÍRIS;PREFEITO;PTB;ZÉ LUIZ
2008;SP;ARCO-ÍRIS;VEREADOR;DEM;NIVALDO BOMBONATO
2008;SP;ARCO-ÍRIS;VEREADOR;PMDB;IZILDINHA
2008;SP;ARCO-ÍRIS;VEREADOR;PSDB;ÉLCIO
2008;SP;ARCO-ÍRIS;VEREADOR;PT;BETO
2008;SP;ARCO-ÍRIS;VEREADOR;PTB;ADÃO
2008;SP;ARCO-ÍRIS;VEREADOR;PTB;ROMÃO SIDINEI
2008;SP;ARCO-ÍRIS;VEREADOR;PTB;YOLANDA REIS
2008;SP;ARCO-ÍRIS;VEREADOR;PV;CICERO CAVALO
2008;SP;ARCO-ÍRIS;VEREADOR;PV;TONINHO CORRETOR
2008;SP;AREALVA;PREFEITO;PSDB;DR. ELSON
2008;SP;AREALVA;VEREADOR;DEM;JULIANO
2008;SP;AREALVA;VEREADOR;PP;LAZARO LIMAO
2008;SP;AREALVA;VEREADOR;PPS;ANDERSON CABELEIREIRO
2008;SP;AREALVA;VEREADOR;PSDB;CI MARMOL
2008;SP;AREALVA;VEREADOR;PSDB;ELISEU RAÇUDO
2008;SP;AREALVA;VEREADOR;PSDB;PANÇA
2008;SP;AREALVA;VEREADOR;PSDB;PIRANHA
2008;SP;AREALVA;VEREADOR;PTB;JOAOZINHO DA CERAMICA
2008;SP;AREALVA;VEREADOR;PTB;VANDERLEI RIZZATO
2008;SP;AREIAS;PREFEITO;PSDB;JOSE ANTONIO
2008;SP;AREIAS;VEREADOR;PMDB;NECA BAIANO
2008;SP;AREIAS;VEREADOR;PMDB;WAGNER DA CIDINHA
2008;SP;AREIAS;VEREADOR;PP;JOSE LUIZ
2008;SP;AREIAS;VEREADOR;PP;LOURENCINHO
2008;SP;AREIAS;VEREADOR;PR;ONOFRINHO
2008;SP;AREIAS;VEREADOR;PSDB;ADRIANO DO PELÉ
2008;SP;AREIAS;VEREADOR;PSDB;FERREIRA
2008;SP;AREIAS;VEREADOR;PSDB;MI DA SERRA
2008;SP;AREIAS;VEREADOR;PV;CÉSAR CORUJA
2008;SP;AREIÓPOLIS;PREFEITO;PT;PEIXEIRO
2008;SP;AREIÓPOLIS;VEREADOR;DEM;ADNÃ
2008;SP;AREIÓPOLIS;VEREADOR;PDT;BARBA
2008;SP;AREIÓPOLIS;VEREADOR;PMDB;ALIRIO
2008;SP;AREIÓPOLIS;VEREADOR;PSDB;ADRIANO
2008;SP;AREIÓPOLIS;VEREADOR;PSDB;BITU
2008;SP;AREIÓPOLIS;VEREADOR;PT;VAL
2008;SP;AREIÓPOLIS;VEREADOR;PT;ZILMA
2008;SP;AREIÓPOLIS;VEREADOR;PTB;PEBINHA
2008;SP;AREIÓPOLIS;VEREADOR;PV;BETO
2008;SP;ARIRANHA;PREFEITO;PTB;JOAMIR
2008;SP;ARIRANHA;VEREADOR;PR;BENTINHO DA AMBULÂNCIA
2008;SP;ARIRANHA;VEREADOR;PSDB;FAUSTO
2008;SP;ARIRANHA;VEREADOR;PSDB;SERGIO LEITE
2008;SP;ARIRANHA;VEREADOR;PSDC;ZEZINHO AFONSO
2008;SP;ARIRANHA;VEREADOR;PTB;ALEXANDRE MANZONI
2008;SP;ARIRANHA;VEREADOR;PTB;CHICO BARBOSA
2008;SP;ARIRANHA;VEREADOR;PTB;FRANGÃO
2008;SP;ARIRANHA;VEREADOR;PV;JULINHO DA FARMACIA
2008;SP;ARIRANHA;VEREADOR;PV;MIRÃO
2008;SP;ARTUR NOGUEIRA;PREFEITO;PT;MARCELO CAPELINI
2008;SP;ARTUR NOGUEIRA;VEREADOR;PMDB;PROFESSOR AMARILDO BOER
2008;SP;ARTUR NOGUEIRA;VEREADOR;PR;LARI BAIANO
2008;SP;ARTUR NOGUEIRA;VEREADOR;PSDB;CRISTIANO DA FARMACIA
